year,region,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,NA,Total
2557,Bangkok,1350,10547,138518,383643,157474,0,691533
2557,Central,8131,33856,416515,1267725,361655,0,2087882
2557,North,4302,22330,333551,1199425,293890,0,1853497
2557,NorthEast,13197,56329,636748,1574906,420932,0,2702111
2557,South,2576,15151,165928,655736,166345,0,1005736
2560,Bangkok,3397,28056,251404,421350,118366,267402,1089974
2560,Central,8342,73698,715465,1278304,272230,565702,2913742
2560,North,5261,44425,656680,1153479,210220,332744,2402809
2560,NorthEast,14654,88039,1056793,1493345,304417,613480,3570727
2560,South,4554,27604,295562,637018,115371,255086,1335195
2564,Bangkok,8929,35837,229992,392734,154953,520382,1342826
2564,Central,5580,39459,716792,1452693,337061,966643,3518228
2564,North,4129,43031,740284,1197569,228361,597244,2810618
2564,NorthEast,7305,111986,1271838,1580664,325201,823585,4120579
2564,South,2894,16539,346631,697093,138624,364718,1566500
